URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://release.niem.gov/niem/auxiliary/statistics/5.0/#Population,Population,"A total membership of a defined class of people, objects or events.",Class,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#Arrest,Arrest,"An apprehension of a subject by a peace official based on an observed or a reported violation of a law or ordinance, an outstanding arrest warrant, or probable cause information.",Class,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#ArrestAgency,Arrest Agency,An agency which employs the arresting official.,Class,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#Attorney,Attorney,A person admitted to practice law in his or her respective state and authorized to perform both civil and criminal legal functions for clients.,Class,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#Booking,Booking,"An administrative step taken after an arrested subject is brought to a police station or detention facility, which involves entry of the subject's name and other relevant facts on the police blotter, and which may also include photographing.",Class,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#BookingFacility,Booking Facility,A police station or a detention facility where a booking occurs.,Class,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,Charge,A formal allegation that a specific person has committed a specific offense.,Class,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#Court,Court,A court or a unit of a court responsible for trying justice proceedings.,Class,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#EnforcementOfficial,Enforcement Official,A person involved in the enforcement of law.,Class,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,Judge,An official who hears and decides a case or who rules over a case proceeding.,Class,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,Register Action,A history of action for a case.,Class,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#Sentence,Sentence,A punishment resulting from conviction of charges in a court case.,Class,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#SentenceTerm,Sentence Term,A duration of a sentence. Specified as either a specific term in days-months-years or as a minimum-maximum range.,Class,,,
http://release.niem.gov/niem/niem-core/5.0/#CourtCase,Court Case,A court case.,Class,,,
http://release.niem.gov/niem/niem-core/5.0/#Incident,Incident,An occurrence or an event that may require a response.,Class,,,
